Wall time,Step,Value
1776795447.191824,399360,-86561.5390625
1776795462.842756,401408,-38848.2890625
1776795491.3227751,403456,-131064.1328125
1776795504.7884932,405504,-131044.3671875
1776795518.085288,407552,-168849.078125
1776795541.0221388,409600,-168861.859375
1776795555.330225,411648,124.73665618896484
1776795568.4104462,413696,134.14608764648438
1776795582.1191869,415744,-1589482.125
1776795600.2954822,417792,-1589506.375
1776795614.462977,419840,-483640.96875
1776795637.016809,421888,-483644.90625
1776795663.3500412,423936,-4486.1279296875
1776795676.483165,425984,-765007.6875
1776795689.696255,428032,-765219.4375
1776795721.0268621,430080,-2168254.25
1776795734.3372958,432128,-2742533.0
1776795755.050262,434176,-1162504.375
1776795772.286861,436224,136.86231994628906
1776795788.643956,438272,122.28374481201172
1776795821.8992,440320,-465328.40625
1776795835.979297,442368,153.7234649658203
1776795868.8679569,444416,152.7283172607422
1776795888.938565,446464,-182237.1875
1776795910.6895082,448512,-182233.734375
1776795936.930822,450560,125.77628326416016
1776795950.618263,452608,107.84925842285156
1776795963.930064,454656,-356907.5
1776795978.282776,456704,-356897.71875
1776796003.362527,458752,-25718.599609375
1776796019.6044989,460800,-363256.78125
1776796045.501866,462848,134.5751953125
1776796086.712139,464896,151.34652709960938
1776796108.714138,466944,64.08467102050781
1776796128.774034,468992,3.781449556350708
1776796151.757846,471040,116.93016815185547
1776796175.169543,473088,-180.2998504638672
1776796197.948025,475136,-11779.6826171875
1776796218.312622,477184,155.98654174804688
1776796243.823073,479232,144.75613403320312
1776796258.926126,481280,88.14794921875
1776796284.930926,483328,-74259.7734375
1776796311.2998679,485376,-471756.78125
1776796342.44787,487424,-397358.34375
1776796366.229641,489472,119.29683685302734
1776796379.364444,491520,-656.30712890625
1776796403.3493812,493568,-646.1595458984375
1776796416.792171,495616,-159255.546875
1776796430.5282822,497664,-159234.546875
1776796444.777686,499712,-85622.484375
1776796474.160653,501760,-85794.2734375
1776796488.022691,503808,106.06696319580078
